SEID,Full Name,Designation Type
#0000000,HAJI KHAIRULLAH HAJI SATTAR MONEY EXCHANGE,Entity
#0000080,Haji Alim Hawala,Entity
#0000080,Haji Hakim Hawala,Entity
#0000080,Haji Khair Ullah Money Service,Entity
#0000080,Haji Khairullah and Abdul Sattar and Company,Entity
#0000080,Haji Khairullah Money Exchange,Entity
#0000080,Haji Khairullah-Haji Sattar Sarafi,Entity
#0000080,Haji Salam Hawala,Entity
#0000080,Sarafi-yi Haji Khairullah Haji Satar Haji Esmatullah,Entity
#0000720,ROSHAN MONEY EXCHANGE,Entity
#0000080,Haji Ahmad Shah Hawala,Entity
#0000080,Maulawi Ahmed Shah Hawala,Entity
#0000080,Mullah Ahmed Shah Hawala,Entity
#0000080,Roshan Sarafi,Entity
#0000080,Roshan Shirkat,Entity
#0000080,Roshan Trading Company,Entity
#0000080,Rushaan Trading Company,Entity
#0000872,HAQQANI NETWORK (HQN),Entity
#0000873,RAHAT LTD.,Entity
#0000080,Haji Muhammad Qasim Sarafi,Entity
#0000080,Musa Kalim Hawala,Entity
#0000080,New Chagai Trading,Entity
#0000080,Rahat Trading Company,Entity
#0000933,HAJI BASIR AND ZARJMIL COMPANY HAWALA,Entity
#0000080,Haji Abdul Basir and Zar Jameel Hawala,Entity
#0000080,Haji Abdul Basir Exchange Shop,Entity
#0000080,Haji Baseer Hawala,Entity
#0000080,Haji Bashir and Zarjmil Hawala Company,Entity
#0000080,Haji Basir and Zarjamil Currency Exchange,Entity
#0000080,Haji Basir Hawala,Entity
#0000080,"Haji Zar Jamil, Haji Abdul Baseer Money Changer",Entity
#0001061,MOHAMMAD HASSAN AKHUND,Individual
#0001063,MOHAMMAD HASSAN AKHUND,Individual
#0001067,MOHAMMAD HASSAN AKHUND,Individual
#0001071,MOHAMMAD HASSAN AKHUND,Individual
#0001075,MOHAMMAD HASSAN AKHUND,Individual
#0001079,MOHAMMAD HASSAN AKHUND,Individual
#0001083,MOHAMMAD HASSAN AKHUND,Individual
#0001085,MOHAMMAD HASSAN AKHUND,Individual
#0001089,MOHAMMAD HASSAN AKHUND,Individual
#0001093,MOHAMMAD HASSAN AKHUND,Individual
#0001101,Abdul Kabir MOHAMMAD JAN,Individual
#0001104,Abdul Kabir MOHAMMAD JAN,Individual
#0001107,KABIR MUHAMMAD JAN ABDUL,Individual
#0001110,KABIR MUHAMMAD JAN ABDUL,Individual
#0001113,ABDUL KABIR MUHAMMAD JAN,Individual
#0001116,ABDUL KABIR MUHAMMAD JAN,Individual
#0001119,A Kabir,Individual
#0001122,A Kabir,Individual
#0001125,Mohammed Omar GHULAM NABI,Individual
#0001127,Mohammed Omar GHULAM NABI,Individual
#0001129,Mohammed Omar GHULAM NABI,Individual
#0001137,Muhammad Taher Anwari,Individual
#0001139,Mohammad Taher Anwari,Individual
#0001141,Mohammad Tahre Anwari,Individual
#0001143,Muhammad Tahir Anwari,Individual
#0001145,Mudir,Individual
#0001147,SAYYED MOHAMMED HAQQANI,Individual
#0001149,Sayyed Mohammad HAQQANI,Individual
#0001151,ABDUL LATIF MANSUR,Individual
#0001152,ABDUL LATIF MANSUR,Individual
#0001157,ABDUL LATIF MANSUR,Individual
#0001158,ABDUL LATIF MANSUR,Individual
#0001163,Abdul Latif MANSOOR,Individual
#0001165,Abdul Latif MANSOOR,Individual
#0001168,Abdul Latif MANSOOR,Individual
#0001171,Abdul Latif MANSOOR,Individual
#0001175,Wali MOHAMMAD,Individual
#0001176,Wali MOHAMMAD,Individual
#0001181,Wali MOHAMMAD,Individual
#0001182,Wali MOHAMMAD,Individual
#0001187,Shams Ur-Rahman ABDUL ZAHIR,Individual
#0001188,Shams Ur-Rahman ABDUL ZAHIR,Individual
#0001189,Shamsurrahman Abdurahman,Individual
#0001190,Shamsurrahman Abdurahman,Individual
#0001191,Shams ur-Rahman Sher Alam,Individual
#0001192,Shams ur-Rahman Sher Alam,Individual
#0001193,Shams-u-Rahman,Individual
#0001194,Shams-u-Rahman,Individual
#0001195,Shamsurrahman,Individual
#0001196,Shamsurrahman,Individual
#0001197,ATTIQULLAH AKHUND,Individual
#0001198,AKHTAR MOHAMMAD MANSOUR SHAH MOHAMMED,Individual
#0001199,AKHTAR MOHAMMAD MANSOUR SHAH MOHAMMED,Individual
#0001200,Naib Imam,Individual
#0001201,Naib Imam,Individual
#0001202,Akhtar Muhammad Mansoor,Individual
#0001203,Akhtar Muhammad Mansoor,Individual
#0001204,Akhtar Mohammad Mansour Khan Muhammad,Individual
#0001205,Akhtar Mohammad Mansour Khan Muhammad,Individual
#0001206,MOHAMMAD NAIM BARICH KHUDAIDAD,Individual
#0001211,Naim Barech Akhund,Individual
#0001216,Naeem Baraich,Individual
#0001221,Naeem Barech,Individual
#0001226,Naim Barech,Individual
#0001231,Naim Bareh,Individual
#0001236,Naeem Baric,Individual
#0001241,Gul Mohammed Naim Barich,Individual
#0001246,Naim Naim Barich,Individual
#0001251,Naim Berich,Individual
#0001256,Gul Mohammad Kamran,Individual
#0001261,Ghul Mohammad,Individual
#0001266,Gul Mohammad,Individual
#0001276,Mohammad Naim,Individual
#0001281,Naimullah,Individual
#0001286,Spen Zrae,Individual
#0001291,HIDAYATULLAH,Individual
#0001292,ABU TURAB,Individual
#0001293,YAR MOHAMMAD RAHIMI,Individual
#0001294,ALLAH DAD TAYEB WALI MUHAMMAD,Individual
#0001296,Allah Dad Tabeeb,Individual
#0001298,Allah Dad Tayyab,Individual
#0001300,NIK MOHAMMAD DOST MOHAMMAD,Individual
#0001301,Nik Mohammad,Individual
#0001302,MATIULLAH,Individual
#0001303,ALLAH DAD MATIN,Individual
#0001304,ALLAH DAD MATIN,Individual
#0001309,AKHUND,Individual
#0001310,AKHUND,Individual
#0001315,ALLAHDAD,Individual
#0001316,ALLAHDAD,Individual
#0001321,SHAHIDWROR,Individual
#0001322,SHAHIDWROR,Individual
#0001327,Ubaidullah Akhund YAR MOHAMMAD AKHUND,Individual
#0001330,Ubaidullah Akhund YAR MOHAMMAD AKHUND,Individual
#0001333,Obaid Ullah Akhund,Individual
#0001336,Obaid Ullah Akhund,Individual
#0001336,Obaidullah Akhund,Individual
#0001333,Obaidullah Akhund,Individual
#0001345,FAZL MOHAMMAD MAZLOOM,Individual
#0001346,FAZL MOHAMMAD MAZLOOM,Individual
#0001348,FAZL MOHAMMAD MAZLOOM,Individual
#0001350,FAZL MOHAMMAD MAZLOOM,Individual
#0001352,FAZL MOHAMMAD MAZLOOM,Individual
#0001354,FAZL MOHAMMAD MAZLOOM,Individual
#0001356,FAZL MOHAMMAD MAZLOOM,Individual
#0001359,Molah Fazl,Individual
#0001360,Molah Fazl,Individual
#0001361,Molah Fazl,Individual
#0001363,Molah Fazl,Individual
#0001366,Molah Fazl,Individual
#0001368,Molah Fazl,Individual
#0001370,Molah Fazl,Individual
#0001373,Fazel Mohammad Mazloom,Individual
#0001374,Fazel Mohammad Mazloom,Individual
#0001375,Fazel Mohammad Mazloom,Individual
#0001377,Fazel Mohammad Mazloom,Individual
#0001379,Fazel Mohammad Mazloom,Individual
#0001382,Fazel Mohammad Mazloom,Individual
#0001384,Fazel Mohammad Mazloom,Individual
#0001387,FADEL AAKHUND MOHAMMAD,Individual
#0001388,FADEL AAKHUND MOHAMMAD,Individual
#0001390,FADEL AAKHUND MOHAMMAD,Individual
#0001392,FADEL AAKHUND MOHAMMAD,Individual
#0001394,FADEL AAKHUND MOHAMMAD,Individual
#0001396,FADEL AAKHUND MOHAMMAD,Individual
#0001398,FADEL AAKHUND MOHAMMAD,Individual
#0001401,ABDUL GHANI BARADAR ABDUL AHMAD TURK,Individual
#0001403,ABDUL GHANI BARADAR ABDUL AHMAD TURK,Individual
#0001405,Baradar AKHUND,Individual
#0001406,Baradar AKHUND,Individual
#0001409,Abdul Ghani Baradar,Individual
#0001411,Abdul Ghani Baradar,Individual
#0001413,ABDUL RAUF KHADEM,Individual
#0001415,ABDUL RAUF KHADEM,Individual
#0001417,ABDUL RAUF KHADEM,Individual
#0001419,ABDUL RAUF KHADEM,Individual
#0001421,ABDUL RAUF KHADEM,Individual
#0001423,ABDUL RAUF KHADEM,Individual
#0001425,ABDUL RAUF KHADEM,Individual
#0001427,Abdul Rauf ALIZA,Individual
#0001429,Abdul Rauf ALIZA,Individual
#0001431,Abdul Rauf ALIZA,Individual
#0001433,Abdul Rauf ALIZA,Individual
#0001435,Abdul Rauf ALIZA,Individual
#0001437,Abdul Rauf ALIZA,Individual
#0001439,Abdul Rauf ALIZA,Individual
#0001441,AMIR KHAN MOTAQI,Individual
#0001442,AMIR KHAN MOTAQI,Individual
#0001443,AMIR KHAN MOTAQI,Individual
#0001444,AMIR KHAN MOTAQI,Individual
#0001448,AMIR KHAN MOTAQI,Individual
#0001454,AMIR KHAN MOTAQI,Individual
#0001513,AMIR KHAN MUTAQI,Individual
#0001514,AMIR KHAN MUTAQI,Individual
#0001516,AMIR KHAN MUTAQI,Individual
#0001517,AMIR KHAN MUTAQI,Individual
#0001521,AMIR KHAN MUTAQI,Individual
#0001525,AMIR KHAN MUTAQI,Individual
#0001585,Amir Khan MUTTAQI,Individual
#0001586,Amir Khan MUTTAQI,Individual
#0001587,Amir Khan MUTTAQI,Individual
#0001588,Amir Khan MUTTAQI,Individual
#0001592,Amir Khan MUTTAQI,Individual
#0001600,Amir Khan MUTTAQI,Individual
#0001657,ABDUL SALAM HANAFI ALI MARDAN QUL,Individual
#0001658,ABDUL SALAM HANAFI ALI MARDAN QUL,Individual
#0001660,ABDUL SALAM HANAFI ALI MARDAN QUL,Individual
#0001661,ABDUL SALAM HANAFI ALI MARDAN QUL,Individual
#0001665,ABDUL SALAM HANAFI,Individual
#0001666,ABDUL SALAM HANAFI,Individual
#0001667,ABDUL SALAM HANAFI,Individual
#0001670,ABDUL SALAM HANAFI,Individual
#0001673,Abdussalam HANIFI,Individual
#0001674,Abdussalam HANIFI,Individual
#0001676,Abdussalam HANIFI,Individual
#0001677,Abdussalam HANIFI,Individual
#0001681,Hanafi SAHEB,Individual
#0001682,Hanafi SAHEB,Individual
#0001683,Hanafi SAHEB,Individual
#0001686,Hanafi SAHEB,Individual
#0001689,SAID AHMED SHAHIDKHEL,Individual
#0001690,AREFULLAH AREF GHAZI MOHAMMAD,Individual
#0001693,Arefullah Aref,Individual
#0001696,MOHAMMAD AHMADI,Individual
#0001700,ABDUL RAHMAN ZAHED,Individual
#0001701,Abdul Rehman ZAHID,Individual
#0001702,Abdul Jalil Haqqani WALI MOHAMMAD,Individual
#0001703,Abdul Jalil Haqqani WALI MOHAMMAD,Individual
#0001706,Abdul Jalil Akhund,Individual
#0001707,Abdul Jalil Akhund,Individual
#0001710,Haji Gulab Gul,Individual
#0001711,Haji Gulab Gul,Individual
#0001714,Abdul Jalil Haqqani,Individual
#0001715,Abdul Jalil Haqqani,Individual
#0001718,Nazar Jan,Individual
#0001719,Nazar Jan,Individual
#0001722,Akhter Mohmad,Individual
#0001723,Akhter Mohmad,Individual
#0001726,FAIZ,Individual
#0001727,ABDUL BAQI BASIR AWAL SHAH,Individual
#0001729,ABDUL BAQI BASIR AWAL SHAH,Individual
#0001739,ABDUL BAQI BASIR AWAL SHAH,Individual
#0001745,ABDUL BAQI HAQQANI,Individual
#0001746,ABDUL BAQI HAQQANI,Individual
#0001754,ABDUL BAQI HAQQANI,Individual
#0001763,Abdul Baqi,Individual
#0001764,Abdul Baqi,Individual
#0001773,Abdul Baqi,Individual
#0001781,MOHAMMAD JAWAD WAZIRI,Individual
#0001783,JALALUDDIN HAQQANI,Individual
#0001785,JALALUDDIN HAQQANI,Individual
#0001787,Jalaluddin HAQANI,Individual
#0001789,Jalaluddin HAQANI,Individual
#0001791,Jallalouddin HAQANI,Individual
#0001793,Jallalouddin HAQANI,Individual
#0001795,Jallalouddine HAQQANI,Individual
#0001797,Jallalouddine HAQQANI,Individual
#0001799,MOHAMMAD IBRAHIM OMARI,Individual
#0001800,Ibrahim HAQQANI,Individual
#0001801,DIN MOHAMMAD HANIF,Individual
#0001803,DIN MOHAMMAD HANIF,Individual
#0001805,IADENA MOHAMMAD,Individual
#0001807,IADENA MOHAMMAD,Individual
#0001809,IADENAMOHAMMAD NAZRI MOHAMMAD,Individual
#0001811,IADENAMOHAMMAD NAZRI MOHAMMAD,Individual
#0001813,QARI DIN MOHAMMAD,Individual
#0001815,QARI DIN MOHAMMAD,Individual
#0001817,HAMDULLAH NOMANI,Individual
#0001819,HAMDULLAH NOMANI,Individual
#0001821,QUDRATULLAH JAMAL,Individual
#0001822,SAHIB,Individual
#0001823,ABDUL RAHMAN AHMAD HOTTAK,Individual
#0001825,Hottak SAHIB,Individual
#0001827,ABDULHAI MOTMAEN,Individual
#0001831,Abdul HAQ,Individual
#0001835,MOHAMMAD YAQOUB,Individual
#0001837,ABDUL RAZAQ AKHUND LALA AKHUND,Individual
#0001839,SAYED MOHAMMAD AZIM AGHA,Individual
#0001840,SAYED MOHAMMAD AZIM AGHA,Individual
#0001841,NOORUDDIN TURABI MUHAMMAD QASIM,Individual
#0001844,NOORUDDIN TURABI MUHAMMAD QASIM,Individual
#0001847,NOORUDDIN TURABI MUHAMMAD QASIM,Individual
#0001850,NOORUDDIN TURABI MUHAMMAD QASIM,Individual
#0001853,MULLAH NOORDIN TORABI,Individual
#0001856,MULLAH NOORDIN TORABI,Individual
#0001859,MULLAH NOORDIN TORABI,Individual
#0001862,MULLAH NOORDIN TORABI,Individual
#0001865,KARIM,Individual
#0001867,KARIM,Individual
#0001870,KARIM,Individual
#0001873,KARIM,Individual
#0001877,Noor ud Din TURABI,Individual
#0001878,Noor ud Din TURABI,Individual
#0001882,Noor ud Din TURABI,Individual
#0001886,Noor ud Din TURABI,Individual
#0001889,MOHAMMAD ESSA AKHUND,Individual
#0001890,MOHAMMAD ESSA AKHUND,Individual
#0001891,Mohammad Eisa Sani,Individual
#0001892,Mohammad Eisa Sani,Individual
#0001893,MOHAMMAD AZAM ELMI,Individual
#0001894,Muhammad AZAMI,Individual
#0001895,Ezatullah Haqqani KHAN SAYYID,Individual
#0001896,Ezatullah Haqqani,Individual
#0001897,MOHAMMAD ABBAS AKHUND,Individual
#0001899,SHER MOHAMMAD ABBAS STANEKZAI PADSHAH KHAN,Individual
#0001901,MOHAMMADULLAH MATI,Individual
#0001902,NANAI,Individual
#0001903,RUSTUM HANAFI HABIBULLAH,Individual
#0001904,Rostam NURISTANI,Individual
#0001905,Hanafi SAHIB,Individual
#0001906,Atiqullah WALI MOHAMMAD,Individual
#0001914,ATIQULLAH,Individual
#0001922,NAJIBULLAH HAQQANI HIDAYATULLAH,Individual
#0001923,NAJIBULLAH HAQQANI HIDAYATULLAH,Individual
#0001924,Najibullah HAQANI,Individual
#0001925,Najibullah HAQANI,Individual
#0001926,Najeebullah HAYAT,Individual
#0001927,Najeebullah HAYAT,Individual
#0001928,SAYYED GHIASSOUDDINE AGHA,Individual
#0001930,SAYYED GHAYASUDIN,Individual
#0001932,SAYED GHIAS,Individual
#0001934,Sayed Ghiasuddin SAYED GHOUSUDDIN,Individual
#0001936,MOHAMMAD MOSLIM HAQQANI MUHAMMADI GUL,Individual
#0001938,Moslim Haqqani,Individual
#0001940,ABDUL RAQIB TAKHARI,Individual
#0001941,ABDUL RAQIB TAKHARI,Individual
#0001942,ABDUL RAQIB TAKHARI,Individual
#0001943,ABDUL RAQIB TAKHARI,Individual
#0001944,ABDUL RAQIB TAKHARI,Individual
#0001945,ABDUL RAQIB TAKHARI,Individual
#0001946,Mohammad Wali MOHAMMAD EWAZ,Individual
#0001948,MOHAMMAD WALI,Individual
#0001950,MOHAMMAD SALIM HAQQANI,Individual
#0001951,MOHAMMAD SALIM HAQQANI,Individual
#0001952,SAYED ESMATULLAH ASEM ABDUL QUDDUS,Individual
#0001954,Asmatullah Asem,Individual
#0001956,Esmatullah Asem,Individual
#0001958,Sayed Esmatullah Asem,Individual
#0001960,ABDUL-HAQ WASSIQ,Individual
#0001962,ABDUL-HAQ WASSIQ,Individual
#0001964,ABDUL-HAQ WASSIQ,Individual
#0001966,Abdulhaq Waseeq,Individual
#0001968,Abdulhaq Waseeq,Individual
#0001970,Abdulhaq Waseeq,Individual
#0001972,Abdul Haq WASIQ,Individual
#0001974,Abdul Haq WASIQ,Individual
#0001976,Abdul Haq WASIQ,Individual
#0001978,Abdul-Haq WASSEQ,Individual
#0001980,Abdul-Haq WASSEQ,Individual
#0001982,Abdul-Haq WASSEQ,Individual
#0001984,EHSANULLAH SARFIDA HESAMUDDIN AKHUNDZADA,Individual
#0001985,EHSANULLAH SARFIDA HESAMUDDIN AKHUNDZADA,Individual
#0001986,Ehsanullah SARFADI,Individual
#0001987,Ehsanullah SARFADI,Individual
#0001988,Ehsanullah SARFIDA,Individual
#0001989,Ehsanullah SARFIDA,Individual
#0001990,HABIBULLAH RESHAD,Individual
#0001991,HABIBULLAH RESHAD,Individual
#0001992,HABIBULLAH RESHAD,Individual
#0001993,HABIBULLAH RESHAD,Individual
#0001994,HABIBULLAH RESHAD,Individual
#0001995,HABIBULLAH RESHAD,Individual
#0001996,AHMED JAN AKHUNDZADA WAZIR,Individual
#0001998,AHMED JAN AKHUNDZADA WAZIR,Individual
#0002000,AHMED JAN AKHUNDZADA WAZIR,Individual
#0002002,AHMED JAN AKHUNDZADA WAZIR,Individual
#0002004,AHMED JAN AKHUNDZADA WAZIR,Individual
#0002006,AHMED JAN AKHUNDZADA WAZIR,Individual
#0002008,Ahmed Jan AKHUND,Individual
#0002010,Ahmed Jan AKHUND,Individual
#0002012,Ahmed Jan AKHUND,Individual
#0002014,Ahmed Jan AKHUND,Individual
#0002016,Ahmed Jan AKHUND,Individual
#0002018,Ahmed Jan AKHUND,Individual
#0002020,Haji Ahmed JAN,Individual
#0002022,Haji Ahmed JAN,Individual
#0002024,Haji Ahmed JAN,Individual
#0002026,Haji Ahmed JAN,Individual
#0002028,Haji Ahmed JAN,Individual
#0002030,Haji Ahmed JAN,Individual
#0002032,SADUDDIN SAYYED,Individual
#0002036,Sadruddin,Individual
#0002040,Sadudin Sayed,Individual
#0002044,ABDUL JABBAR OMARI,Individual
#0002045,JABBAR,Individual
#0002046,Mauwin JABBAR,Individual
#0002047,NURULLAH NURI,Individual
#0002048,NURULLAH NURI,Individual
#0002051,Norullah Noori,Individual
#0002052,Norullah Noori,Individual
#0002055,JANAN AGHA,Individual
#0002056,JANAN AGHA,Individual
#0002057,Abdullah Jan AGHA,Individual
#0002058,Abdullah Jan AGHA,Individual
#0002059,DOST MOHAMMAD,Individual
#0002061,DOST MOHAMMAD,Individual
#0002063,DOST MOHAMMAD,Individual
#0002065,DOST MOHAMMAD,Individual
#0002067,DOST MOHAMMAD,Individual
#0002069,DOST MOHAMMAD,Individual
#0002071,Doost Mohammad,Individual
#0002073,Doost Mohammad,Individual
#0002075,Doost Mohammad,Individual
#0002077,Doost Mohammad,Individual
#0002079,Doost Mohammad,Individual
#0002081,Doost Mohammad,Individual
#0002083,KHAIRULLAH KHAIRKHWAH,Individual
#0002091,KHAIRULLAH KHAIRKHWAH,Individual
#0002099,Khairullah Khairkhwa,Individual
#0002107,Khairullah Khairkhwa,Individual
#0002115,Khirullah Said Wali KHAIRKHWA,Individual
#0002123,Khirullah Said Wali KHAIRKHWA,Individual
#0002131,ABDUL BARI AKHUND,Individual
#0002133,Haji Mullah SAHIB,Individual
#0002135,ZAKIR,Individual
#0002137,WALIJAN,Individual
#0002139,MOHAMMAD HASAN RAHMANI,Individual
#0002142,Gud Mullah Mohammad Hassan,Individual
#0002145,ABDUL MANAN NYAZI,Individual
#0002149,Baryalai,Individual
#0002153,Baryaly,Individual
#0002157,Abdul Manan Nayazi,Individual
#0002161,Abdul Manan Niazi,Individual
#0002165,ABDUL WAHED SHAFIQ,Individual
#0002166,MOHAMMAD SHAFIQ MOHAMMADI,Individual
#0002168,NAZIR MOHAMMAD ABDUL BASIR,Individual
#0002170,Nazar MOHAMMAD,Individual
#0002172,MOHAMMAD ESHAQ AKHUNZADA,Individual
#0002173,MOHAMMAD ESHAQ AKHUNZADA,Individual
#0002174,MOHAMMAD ESHAQ AKHUNZADA,Individual
#0002175,MOHAMMAD ESHAQ AKHUNZADA,Individual
#0002176,MOHAMMAD ESHAQ AKHUNZADA,Individual
#0002177,MOHAMMAD ESHAQ AKHUNZADA,Individual
#0002178,Mohammad Ishaq AKHUND,Individual
#0002179,Mohammad Ishaq AKHUND,Individual
#0002180,Mohammad Ishaq AKHUND,Individual
#0002181,Mohammad Ishaq AKHUND,Individual
#0002182,Mohammad Ishaq AKHUND,Individual
#0002183,Mohammad Ishaq AKHUND,Individual
#0002184,ZIA-UR-RAHMAN MADANI,Individual
#0002186,Ziaurrahman MADANI,Individual
#0002188,Diya' al-Rahman MADANI,Individual
#0002190,Zaia u Rahman MADANI,Individual
#0002192,Madani SAHEB,Individual
#0002194,SHAMSUDDIN,Individual
#0002195,Pahlawan Shamsuddin,Individual
#0002196,MOHAMMAD RASUL AYYUB,Individual
#0002197,MOHAMMAD RASUL AYYUB,Individual
#0002198,MOHAMMAD RASUL AYYUB,Individual
#0002199,MOHAMMAD RASUL AYYUB,Individual
#0002200,MOHAMMAD RASUL AYYUB,Individual
#0002201,MOHAMMAD RASUL AYYUB,Individual
#0002202,GURG,Individual
#0002203,GURG,Individual
#0002204,GURG,Individual
#0002205,GURG,Individual
#0002206,GURG,Individual
#0002207,GURG,Individual
#0002208,Ahmad Taha Khalid ABDUL QADIR,Individual
#0002211,MOHAMMAD SHAFIQULLAH AHMADI FATIH KHAN,Individual
#0002213,MOHAMMAD SHAFIQULLAH AHMADI FATIH KHAN,Individual
#0002215,Mohammad Shafiq AHMADI,Individual
#0002216,Mohammad Shafiq AHMADI,Individual
#0002219,SHAFIQULLAH,Individual
#0002220,SHAFIQULLAH,Individual
#0002223,AMINULLAH AMIN QUDDUS,Individual
#0002224,Aminullah AMIN,Individual
#0002225,Muhammad YUSUF,Individual
#0002226,ABDULHAI SALEK,Individual
#0002227,AHMAD JAN AKHUNDZADA SHUKOOR AKHUNDZADA,Individual
#0002229,AHMAD JAN AKHUNDZADA SHUKOOR AKHUNDZADA,Individual
#0002231,Ahmad Jan AKHUNZADA,Individual
