SEID,LUID,Full Name,Name Type,IMO Number,Current Believed Flag,Previous Flags,Type,Tonnage,Length,Year Built,Current Owner/Operators,Previous Owner/Operators,Other Information,UK Statement of Reasons
#0019773,DPR0075,Petrel 8,Primary Name,9562233.0,Comoros,India,Bulk Carrier,7078.0,134.5,2011.0,Global United Shipping India,,Pursuant to paragraph 6 of Security Council Resolution 2371 (2017) and paragraph 6 of Security Council Resolution 2375 (2017),
#0019774,DPR0075,Jal Vahini; Jal_Vahini,Alias,9562233.0,Comoros,India,Bulk Carrier,7078.0,134.5,2011.0,Global United Shipping India,,Pursuant to paragraph 6 of Security Council Resolution 2371 (2017) and paragraph 6 of Security Council Resolution 2375 (2017),
#0019776,DPR0075,Tian Tai 36,Alias,9562233.0,Comoros,India,Bulk Carrier,7078.0,134.5,2011.0,Global United Shipping India,,Pursuant to paragraph 6 of Security Council Resolution 2371 (2017) and paragraph 6 of Security Council Resolution 2375 (2017),
#0019777,DPR0076,Hao Fan 6,Primary Name,8628597.0,St Kitts and Nevis,China; Kiribati,Bulk Carrier,8343.0,140.0,2009.0,Shen Zhong International Shipping,,Pursuant to paragraph 6 of Security Council Resolution 2371 (2017) and paragraph 6 of Security Council Resolution 2375 (2017). Listed as asset of Shen Zhong International Shipping - OFSI ID: 13644. UN Reference Number: UN Ref KPe.073.,
#0019779,DPR0077,Tong San 2,Primary Name,8937675.0,North Korea,South Korea,General Cargo / Multi Purpose,4967.0,108.45,1996.0,Shipping Imperial,,Pursuant to paragraph 6 of Security Council Resolution 2371 (2017) and paragraph 6 of Security Council Resolution 2375 (2017),
#0019780,DPR0077,Chil Sung,Alias,8937675.0,North Korea,South Korea,General Cargo / Multi Purpose,4967.0,108.45,1996.0,Shipping Imperial,,Pursuant to paragraph 6 of Security Council Resolution 2371 (2017) and paragraph 6 of Security Council Resolution 2375 (2017),
#0019781,DPR0077,Genesis Wave; Twgenesis Wave,Alias,8937675.0,North Korea,South Korea,General Cargo / Multi Purpose,4967.0,108.45,1996.0,Shipping Imperial,,Pursuant to paragraph 6 of Security Council Resolution 2371 (2017) and paragraph 6 of Security Council Resolution 2375 (2017),
#0019782,DPR0077,Haedong Carrier No.9,Alias,8937675.0,North Korea,South Korea,General Cargo / Multi Purpose,4967.0,108.45,1996.0,Shipping Imperial,,Pursuant to paragraph 6 of Security Council Resolution 2371 (2017) and paragraph 6 of Security Council Resolution 2375 (2017),
#0019784,DPR0078,Jie Shun,Primary Name,8518780.0,Cambodia,,General Cargo / Multi Purpose,2825.0,97.36,1986.0,Liaoning Foreign Trade,,Pursuant to paragraph 6 of Security Council Resolution 2371 (2017) and paragraph 6 of Security Council Resolution 2375 (2017),
#0019785,DPR0078,Armon,Alias,8518780.0,Cambodia,,General Cargo / Multi Purpose,2825.0,97.36,1986.0,Liaoning Foreign Trade,,Pursuant to paragraph 6 of Security Council Resolution 2371 (2017) and paragraph 6 of Security Council Resolution 2375 (2017),
